Sample,Iteration,Kernel,Accuracy,C,Gamma
S1,79,rbf,0.9707602339181286,1000.0,46.41588833612773
S1,79,poly,0.9532163742690059,1000.0,2.154434690031882
S1,80,linear,0.9415204678362573,1000.0,46.41588833612773
S1,80,rbf,0.9707602339181286,215.44346900318823,0.004641588833612777
S1,80,poly,0.9181286549707602,2.154434690031882,0.46415888336127775
S1,81,linear,0.935672514619883,10.0,0.001
S1,81,rbf,0.9707602339181286,1000.0,0.46415888336127775
S1,81,poly,0.9649122807017544,46.41588833612773,0.004641588833612777
S1,82,linear,0.9707602339181286,0.1,2.154434690031882
S1,82,rbf,0.9590643274853801,46.41588833612773,46.41588833612773
S1,82,poly,0.9532163742690059,1000.0,46.41588833612773
S1,83,linear,0.9415204678362573,1000.0,10.0
S1,83,rbf,0.631578947368421,0.004641588833612777,1000.0
S1,83,poly,0.8771929824561403,0.46415888336127775,10.0
S1,84,linear,0.9415204678362573,215.44346900318823,0.001
S1,84,rbf,0.631578947368421,0.004641588833612777,46.41588833612773
S1,84,poly,0.9590643274853801,215.44346900318823,10.0
S1,85,linear,0.9649122807017544,0.021544346900318832,2.154434690031882
S1,85,rbf,0.631578947368421,0.001,10.0
S1,85,poly,0.9707602339181286,10.0,10.0
S1,86,linear,0.9415204678362573,1000.0,0.1
S1,86,rbf,0.9883040935672515,10.0,2.154434690031882
S1,86,poly,0.9649122807017544,46.41588833612773,10.0
S1,87,linear,0.9415204678362573,0.001,0.001
S1,87,rbf,0.9766081871345029,2.154434690031882,46.41588833612773
S1,87,poly,0.9181286549707602,2.154434690031882,0.46415888336127775
S1,88,linear,0.9649122807017544,0.021544346900318832,0.004641588833612777
S1,88,rbf,0.9590643274853801,46.41588833612773,0.001
S1,88,poly,0.7485380116959064,0.021544346900318832,0.46415888336127775
S1,89,linear,0.9415204678362573,1000.0,2.154434690031882
S1,89,rbf,0.631578947368421,0.004641588833612777,1000.0
S1,89,poly,0.9532163742690059,1000.0,10.0
S1,90,linear,0.9649122807017544,0.021544346900318832,1000.0
S1,90,rbf,0.9064327485380117,0.021544346900318832,1000.0
S1,90,poly,0.9649122807017544,46.41588833612773,0.004641588833612777
S1,91,linear,0.9824561403508771,0.46415888336127775,215.44346900318823
S1,91,rbf,0.9590643274853801,46.41588833612773,0.1
S1,91,poly,0.6432748538011696,0.001,0.004641588833612777
S1,92,linear,0.9824561403508771,0.46415888336127775,1000.0
S1,92,rbf,0.631578947368421,0.004641588833612777,2.154434690031882
S1,92,poly,0.9181286549707602,2.154434690031882,2.154434690031882
S1,93,linear,0.9415204678362573,1000.0,1000.0
S1,93,rbf,0.631578947368421,0.001,0.001
S1,93,poly,0.9590643274853801,215.44346900318823,0.021544346900318832
S1,94,linear,0.9707602339181286,0.1,0.001
S1,94,rbf,0.9766081871345029,2.154434690031882,0.004641588833612777
S1,94,poly,0.6783625730994152,0.004641588833612777,1000.0
S1,95,linear,0.9415204678362573,215.44346900318823,10.0
S1,95,rbf,0.9649122807017544,0.46415888336127775,0.004641588833612777
S1,95,poly,0.9590643274853801,215.44346900318823,46.41588833612773
S1,96,linear,0.9707602339181286,0.1,0.004641588833612777
S1,96,rbf,0.9064327485380117,0.021544346900318832,0.021544346900318832
S1,96,poly,0.9590643274853801,215.44346900318823,1000.0
S1,97,linear,0.9415204678362573,46.41588833612773,0.021544346900318832
S1,97,rbf,0.631578947368421,0.004641588833612777,0.1
S1,97,poly,0.7485380116959064,0.021544346900318832,0.021544346900318832
S1,98,linear,0.9707602339181286,0.1,0.001
S1,98,rbf,0.9766081871345029,2.154434690031882,1000.0
S1,98,poly,0.7485380116959064,0.021544346900318832,0.46415888336127775
S1,99,linear,0.9649122807017544,0.021544346900318832,215.44346900318823
S1,99,rbf,0.9707602339181286,1000.0,0.021544346900318832
S1,99,poly,0.7485380116959064,0.021544346900318832,215.44346900318823
S2,0,linear,0.9473684210526315,0.46415888336127775,0.46415888336127775
S2,0,rbf,0.8654970760233918,0.021544346900318832,215.44346900318823
S2,0,poly,0.9415204678362573,215.44346900318823,0.001
S2,1,linear,0.9590643274853801,46.41588833612773,0.1
S2,1,rbf,0.935672514619883,215.44346900318823,46.41588833612773
S2,1,poly,0.7894736842105263,0.1,46.41588833612773
S2,2,linear,0.9590643274853801,46.41588833612773,0.46415888336127775
S2,2,rbf,0.8654970760233918,0.021544346900318832,0.1
S2,2,poly,0.9590643274853801,10.0,46.41588833612773
S2,3,linear,0.9473684210526315,215.44346900318823,0.004641588833612777
S2,3,rbf,0.9590643274853801,0.1,0.001
S2,3,poly,0.6783625730994152,0.004641588833612777,10.0
S2,4,linear,0.935672514619883,0.001,215.44346900318823
S2,4,rbf,0.8654970760233918,0.021544346900318832,0.46415888336127775
S2,4,poly,0.9415204678362573,215.44346900318823,215.44346900318823
S2,5,linear,0.9649122807017544,10.0,0.004641588833612777
S2,5,rbf,0.8654970760233918,0.021544346900318832,46.41588833612773
S2,5,poly,0.9298245614035088,2.154434690031882,0.001
S2,6,linear,0.9473684210526315,1000.0,0.001
S2,6,rbf,0.9649122807017544,0.46415888336127775,0.001
S2,6,poly,0.9590643274853801,10.0,46.41588833612773
S2,7,linear,0.9473684210526315,1000.0,1000.0
S2,7,rbf,0.631578947368421,0.001,10.0
S2,7,poly,0.9473684210526315,1000.0,0.46415888336127775
S2,8,linear,0.9590643274853801,2.154434690031882,46.41588833612773
S2,8,rbf,0.9532163742690059,10.0,0.1
S2,8,poly,0.9473684210526315,1000.0,1000.0
S2,9,linear,0.9473684210526315,215.44346900318823,0.1
S2,9,rbf,0.8654970760233918,0.021544346900318832,46.41588833612773
S2,9,poly,0.9298245614035088,2.154434690031882,10.0
S2,10,linear,0.9649122807017544,0.021544346900318832,0.001
S2,10,rbf,0.935672514619883,215.44346900318823,2.154434690031882
S2,10,poly,0.6374269005847953,0.001,10.0
S2,11,linear,0.9473684210526315,0.46415888336127775,2.154434690031882
S2,11,rbf,0.9590643274853801,0.1,0.001
S2,11,poly,0.6374269005847953,0.001,0.001
S2,12,linear,0.935672514619883,0.001,46.41588833612773
S2,12,rbf,0.935672514619883,1000.0,0.46415888336127775
S2,12,poly,0.9649122807017544,46.41588833612773,215.44346900318823
S2,13,linear,0.9473684210526315,215.44346900318823,0.1
S2,13,rbf,0.631578947368421,0.004641588833612777,1000.0
S2,13,poly,0.6783625730994152,0.004641588833612777,0.1
S2,14,linear,0.9649122807017544,0.004641588833612777,2.154434690031882
